	1	2	3	4	6	7	8	9	10	11	13	14	15	17	19	20	21	22	27	28	29	30	32	33	35	36	37	38	248	252
1											-74					-79					-81		-75						-61		
2																															
3																															
4																															
6											-82	-78,-84				-82,-85					-79,-77	-84									
7						-34													-83,-85												
8																															
9																															
10																															
11																															
13	-73				-80																										
14					-76																										
15														-72					-76												
17													-71		-84,-83	-83					-76,-71										
19														-80,-84		-83						-79,-80									
20	-84,-81				-81									-84	-80							-76,-85									
21																															
22																															
27						-84							-77																		
28																															
29	-80				-80,-79									-75,-73								-83,-83									
30					-84										-80,-85	-75,-85					-83,-80										
32	-73																							-80				-82,-85			
33																							-76					-69,-65			
35																															
36																											-66,-66				
37																										-66,-63,-64					
38																							-85	-70,-66							
248	-69																														
252																															
